Area of park,Population year,Species name,Fall population estimate,Estimate method
North,1970,Deer,65,Aerial
South,1966,Elk,21,Aerial
North,1967,Moose,627,Aerial
North,1968,Moose,600,Aerial
North,1967,Elk,393,Aerial
South,1967,Bison,35,Aerial
North,1967,Bison,733,Aerial
North,1971,Deer,23,Aerial
South,1972,Deer,104,Aerial
South,1967,Elk,15,Aerial
South,1968,Deer,265,Aerial
North,1969,Deer,27,Aerial
North,1968,Elk,418,Aerial
South,1968,Bison,50,Aerial
North,1968,Bison,728,Aerial
South,1973,Deer,205,Aerial
North,1973,Deer,71,Aerial
South,1968,Elk,21,Aerial
North,1969,Moose,415,Aerial
North,1970,Moose,280,Aerial
North,1969,Elk,383,Aerial
South,1969,Bison,62,Aerial
North,1969,Bison,774,Aerial
North,1974,Deer,14,Aerial
South,1975,Deer,77,Aerial
South,1969,Elk,21,Aerial
North,1971,Moose,353,Aerial
South,1971,Deer,103,Aerial
North,1970,Elk,426,Aerial
South,1970,Bison,34,Aerial
North,1970,Bison,685,Aerial
South,1976,Deer,120,Aerial
North,1976,Deer,50,Aerial
South,1970,Elk,9,Aerial
North,1972,Deer,46,Aerial
North,1972,Moose,310,Aerial
North,1971,Elk,510,Aerial
North,1971,Bison,872,Aerial
South,1971,Bison,43,Aerial
North,1977,Deer,58,Aerial
South,1978,Deer,100,Aerial
South,1971,Elk,8,Aerial
North,1973,Moose,297,Aerial
North,1974,Moose,289,Aerial
North,1972,Bison,780,Aerial
North,1972,Elk,552,Aerial
South,1972,Bison,54,Aerial
South,1979,Deer,62,Aerial
North,1979,Deer,42,Aerial
South,1972,Elk,7,Aerial
South,1974,Deer,35,Aerial
North,1975,Deer,20,Aerial
North,1973,Bison,719,Aerial
North,1973,Elk,570,Aerial
South,1973,Bison,63,Aerial
North,1980,Deer,84,Aerial
South,1981,Deer,291,Aerial
South,1973,Elk,10,Aerial
North,1975,Moose,271,Aerial
North,1976,Moose,449,Aerial
North,1974,Bison,622,Aerial
North,1974,Elk,406,Aerial
South,1974,Bison,74,Aerial
South,1982,Deer,125,Aerial
North,1982,Deer,100,Aerial
South,1974,Elk,14,Aerial
South,1977,Deer,110,Aerial
North,1978,Deer,69,Aerial
North,1975,Bison,428,Aerial
North,1975,Elk,430,Aerial
South,1975,Bison,91,Aerial
North,1962,Elk,300,Aerial
South,1962,Elk,12,Aerial
South,1975,Elk,22,Aerial
South,1980,Deer,177,Aerial
North,1981,Deer,126,Aerial
North,1962,Moose,245,Aerial
North,1976,Bison,410,Aerial
North,1976,Elk,568,Aerial
South,1976,Bison,114,Aerial
South,1962,Moose,105,Aerial
South,1963,Moose,130,Aerial
South,1976,Elk,25,Aerial
North,1977,Moose,293,Aerial
South,1964,Moose,150,Aerial
North,1977,Bison,529,Aerial
North,1977,Elk,450,Aerial
South,1977,Bison,136,Aerial
South,1965,Moose,164,Aerial
South,1966,Moose,235,Aerial
South,1977,Elk,55,Aerial
North,1978,Bison,553,Aerial
North,1978,Moose,234,Aerial
South,1967,Moose,250,Aerial
North,1978,Elk,464,Aerial
South,1978,Bison,150,Aerial
South,1968,Moose,150,Aerial
South,1969,Moose,102,Aerial
South,1978,Elk,73,Aerial
North,1979,Bison,399,Aerial
North,1979,Elk,486,Aerial
North,1979,Moose,366,Aerial
South,1970,Moose,75,Aerial
South,1979,Bison,129,Aerial
South,1971,Moose,125,Aerial
South,1972,Moose,82,Aerial
South,1979,Elk,75,Aerial
North,1980,Bison,443,Aerial
North,1980,Moose,380,Aerial
North,1980,Elk,607,Aerial
South,1973,Moose,117,Aerial
South,1980,Bison,159,Aerial
South,1974,Moose,118,Aerial
South,1976,Moose,225,Aerial
South,1980,Elk,87,Aerial
North,1981,Bison,518,Aerial
North,1981,Elk,584,Aerial
North,1981,Moose,187,Aerial
South,1977,Moose,160,Aerial
South,1981,Bison,139,Aerial
South,1978,Moose,160,Aerial
South,1979,Moose,120,Aerial
South,1981,Elk,100,Aerial
North,1982,Bison,652,Aerial
North,1982,Elk,527,Aerial
North,1982,Moose,214,Aerial
South,1980,Moose,120,Aerial
South,1982,Bison,161,Aerial
South,1981,Moose,120,Aerial
South,1982,Moose,36,Aerial
South,1982,Elk,102,Aerial
South,1983,Bison,183,Aerial
North,1983,Bison,492,Aerial
North,1983,Elk,583,Aerial
North,1983,Moose,148,Aerial
South,1983,Moose,61,Aerial
North,1983,Deer,166,Aerial
South,1983,Deer,72,Aerial
South,1983,Elk,137,Aerial
South,1984,Bison,217,Aerial
North,1984,Bison,478,"Aerial, Handling"
North,1984,Elk,625,Aerial
North,1984,Moose,221,Aerial
South,1984,Deer,148,Aerial
North,1984,Deer,139,Aerial
South,1984,Elk,120,Aerial
South,1984,Moose,98,Aerial
North,1985,Bison,488,"Aerial, Handling"
South,1985,Bison,232,"Aerial, Handling"
North,1985,Elk,649,Aerial
North,1985,Moose,286,Aerial
